product,slug,price_eur,garment_cost,shipping_charged,shipping_cost,card_fee,net_profit,net_margin_pct
"Westwood 69 — Pink",westwood-69-pink,40,14.68,9,7.33,0.98,26.00,53.1
"Westwood 69 — Black",westwood-69-black,40,14.68,9,7.33,0.98,26.00,53.1
"Bat Country",bat-country,50,18.36,9,7.33,1.14,32.17,54.5
"Tongue Box",tongue-box,50,18.36,9,7.33,1.14,32.17,54.5
"The Jesus",the-jesus,50,18.36,9,7.33,1.14,32.17,54.5
"Surrender Dorothy",surrender-dorothy,50,18.36,9,7.33,1.14,32.17,54.5
"Saucer",saucer,50,18.36,9,7.33,1.14,32.17,54.5
"Saucer — Oversized, Black",saucer-oversized-black,40,14.68,9,7.33,0.98,26.00,53.1
"Saucer — Oversized, Bone",saucer-oversized-bone,40,14.68,9,7.33,0.98,26.00,53.1
"Another Punk",another-punk,35,11.93,9,7.33,0.91,23.83,54.2
"Mesh",mesh,45,17.45,9,7.33,1.06,28.16,52.1
"Leopard Crop",leopard-crop,35,11.93,9,7.33,0.91,23.83,54.2
"Cami",cami,35,11.93,9,7.33,0.91,23.83,54.2
"Bodysuit",bodysuit,40,14.69,9,7.33,0.98,25.99,53.0
